DestName,subtype,rating,lang,textwithrating1,textwithrating2,textwithrating3,textwithrating4,textwithrating5,webUrl,longitude,latitude,phone,address,website,numberOfReviews
Great Mosque of Mecca,Points of Interest & Landmarks,5,en,,,"They really need to do something about the pushing, elbowing, shoving and the racism. Even at a holy place like THIS people don't want to pray properly. Do they really think their prayers will be answered if they do evil during salat? Laughing,  joking, not praying, with cell phones everywhere, it's just wrong. Deplorable behavior. You're not even supposed to have cell phones doing this so idk what kind of crazy that was anyway. They make it like a game or a joke. It's not. No food outside the haram unless you want to walk to the food trucks and idk whose feet can handle more walking when you are done with safaa and marwah. The bathroom situation is horrible. People don't know how to use the escalator because they DON'T have them in their home country and they freak out and fall and get stuck in the teeth with all these long clothes just to get to the bathroom with no toilet paper anywhere. I understand why,  the pilgrims make such a mess. I don't even think it would be a good idea to have tissue in there. 

It's beautiful and fantastic from a spiritual and religious perspective. I loved it for that reason. It was a remarkable spiritual experience. A must do for every Muslim around the world. You will not come back the same that's for sure.",A special  journey to Mecca Mukarrama is physically demanding but spiritually it is vry elevating and brings inner solace like no other journey can .,احسن البقاع على وجه الأرض لان الصلاة فيها ب1000 صلاة كما قال فيها رسول الله صلى الله عليه وسلم وفيها مناسك وحج البيت لمن استطاعا ليه سبيل,https://www.tripadvisor.com/Attraction_Review-g293993-d6881993-Reviews-Great_Mosque_of_Mecca-Mecca_Makkah_Province.html,39.82762,21.42403,,"Al Haram Road, Mecca 24231 Saudi Arabia",,1353
Al Rajhi Mosque,Sacred & Religious Sites,5,en,,,,"Definitely check out the mosque as it is one of the most famous and the largest mosque in Riyadh.As we were short on time,couldnt check it out in detail  but will definitely check it out next time we are in Riyadh again.","Huge masjid, very clean, and well maintained. Toilets are clean too. Well carpeted and the smell inside is very good.",https://www.tripadvisor.com/Attraction_Review-g293995-d8150867-Reviews-Al_Rajhi_Mosque-Riyadh_Riyadh_Province.html,46.77902,24.677277,+966 11 244 4447,"Al Akheyar, Al Jazirah, Riyadh 14257 Saudi Arabia",,328
Kingdom Centre Tower,Shopping Malls,4.5,en,,,"This article meets the needs of the user to some extent, but I got more complete information about the Kingdom Tower of Saudi Arabia by reading in HiTopTourism. If you like, you can read it.","Really nice views of the city.
The lights of the city can be seen beautifully in the evening.
A shopping center on the ground floor of the building, where you can spend time.","Kingdom Centre Tower is a must-visit landmark in Riyadh. The Sky Bridge offers breathtaking panoramic views of the city, especially at sunset. The tower also features a high-end shopping mall with a variety of luxury brands and dining options. Its sleek, modern design and excellent facilities make it a top destination for both sightseeing and shopping in Riyadh. Highly recommended for an unforgettable experience!",https://www.tripadvisor.com/Attraction_Review-g293995-d675824-Reviews-Kingdom_Centre_Tower-Riyadh_Riyadh_Province.html,46.670082,24.731178,+966 11 211 2222,"King Fahad Road, Riyadh 11321 Saudi Arabia",https://kingdomcentre.com.sa/,1922
Edge of The World,Lookouts,5,ru,,,"Обещала написать отзыв, если благополучно вернёмся оттуда. Вернулись. Наша ошибка была поехать туда самим на обычной Toyota. Без внедорожника там делать нечего. Мы смогли почти добраться, но вынуждены были вернуться назад в нескольких км от места. Дальше дорога была просто непроходимой для обычной машины. Поэтому или арендуйте джип или организованная экскурсия. ",Excellent view. Five stars. Only ruined by crowds of instagrammers desperate to take a perfect photo rather than enjoy an experience and place of beauty. Sunset here is special.,"excellent and very nice foods thank you to all the staff , have a nice holiday . foods are well prepared",https://www.tripadvisor.com/Attraction_Review-g293995-d5053663-Reviews-Edge_of_The_World-Riyadh_Riyadh_Province.html,45.99081,24.94614,,Riyadh 11613 Saudi Arabia,,394
Al Masjid an Nabawi,Sacred & Religious Sites,5,en,"I got very disappointed today. I entered from gate number 39 to Rawdah, and put my shoes in the shelf. After Rawdah visit, when I was asking to security person "" How to get my shoes"" from gate number 39, since we were not allow to go back and get shoes, meanwhile another security person came and hold my hand and push me with screaming, really I got shocked, how they treat the peoples. The management should teach them ""MANNERS"". I decided never go again inside, is better to stay far these peoples and make a dua and leave area.",,"Arrive there after our Umrah in Mecca. Just stayed opposite the mosque at Rua Al Hijrah Hotel. Our gate was 367, building No 2 (hope i got the numbers correct) but I got to walk till building No 30 Gate 356 (not really sure) to pray inside the mosque. We both had to walk very far looking for women praying area whereby the near buildings are all for Male. My hubby prayed in building no 33 just to be safe that I don't get lost. Why do women had to walk so far in? Why they do not have a prayer hall for women near Gate 367? There are only outdoor space for all to pray and we both were really tired of walking up and down so we had to settle down at the open space. We were also chased away from the open space during the Fajar prayers back to building no 30's outer space. I really do not understand their system but please show some mercy to women as we got to walk very far to pray inside the mosque. They should at least have 1 building near to Gate 367 making it convenient for pilgrims coming into the mosque via Gate 367, 366....was very disappointed with their system. Well, this was my first visit to the mosque and had some good peaceful prayers in there besides all these hiccups.... huge beautiful breathtaking mosque. Alhamdulillah was able to Salam our Rasool...","Medina was on my “to visit” list for quite a while and this year I finally decided to use an opportunity. I wanted to do it right before Ramadan so first few days in March 2024 were the best option. 
The city was closed for non-Muslims for centuries, but a few years ago restrictions were relaxed and visiting the city also became possible for those confessing other religions. It’s still forbidden to enter the Prophet’s Mosque (An Masjid an Nabawi) though, but walking the area around it is allowed and there is plenty to see!! 
Medina is a second most important city for Muslims after Mecca. Prophet’s burial site is actually in Medina in haram area within Masjid an Nabawi. 
Getting to the mosque and the whole haram (forbidden area) by taxi from Medina airport takes about 30 minutes and costs 90 SAR (please only use the official taxi companies), there are a few of them at the airport. 
Haram area is very, very crowded due to being a pilgrimage destination. There are worshippers literally from all around the world. 
Taking pictures is allowed but a friendly piece of advice - please only use a smartphone for that! Big cameras are not welcomed. I was told by the guard in a very rude way to hide the camera, but still managed to make some great photos using an iPhone. 
Anyway, it was my fifth trip to Saudi Arabia and I’m glad I’ve finally visited Medina. 
The only con during that trip was the disgusting behaviour of guards and the police near the mosque. Their rude and unprofessional attitude towards pilgrims is absolutely unacceptable. Since Saudi Arabia is now open for tourism, police and guards, especially in the tourist spots, need to be taught some good manners and develop proper communication skills. 
But still, I highly recommend Medina to all adventurous travellers like me!",this is the second largest mosque after Mecca. I had to hunt around to find the Arabic name for the Prophet's Mosque to write a review. Muhammed is buried here. The ground is spread over 20 some acres. It's unbelievably huge and holds inside/out a million people. Try to imagine that. When we were there and watched the pilgrims from lots of different countries enter the mosque we were truly in awe of the masses that seemed never ending. Non Muslims are not allowed to get inside (there is a green barrier). But what you can see as you walk around will blow your mind. It's stunning!!. What looks like umbrellas does also fold up. Totally beautiful to look at and architectural genius.,https://www.tripadvisor.com/Attraction_Review-g298551-d319516-Reviews-Al_Masjid_an_Nabawi-Medina_Al_Madinah_Province.html,39.61115,24.467182,+966 14 823 2400,"King Abdul Aziz Rd Central Madina, Medina 42311 Saudi Arabia",http://wmn.gov.sa,2371
Al Rahma Mosque,Sacred & Religious Sites,4,en,Terribly disappointed to not see the mosque as we had intended walking the length of the North Corniche in the evening. and finishing up there. The F1 track  is currently being organised in the same vicinity and although we consulted Google maps we could not find a way in.,,"Did not. meet my expectation. Part of the Mosque is supported by pillars that is in the sea. The area is all cordoned off because of the Grand Prix circuit and therefore long walk to get to the mosque, also because of the block roads not easy for the taxi guy to get there. On the way back no Taxi and Uber/careem and bolt can be difficult to get",Mosquée sur pilotis ! Pas possible d’y entrer en plein travaux comme toute la ville ! Sinon joli spot la corniche est sympa pour une balade n’y aller pas en journée pas un chat pour les petits stand de boissons et autres,"Ya no es necesaria la abaya. Sin duda un lugar diferente, lleno de cultura, nos da muchos argumentos para valorar TODA UNA EXPERIENCIA !!!!",https://www.tripadvisor.com/Attraction_Review-g295419-d319513-Reviews-Al_Rahma_Mosque-Jeddah_Makkah_Province.html,39.10089,21.648565,,"6826 Corniche Rd, Jeddah 23613 Saudi Arabia",,432
King Abdullah Park,Parks,4.5,en,"We went with family … not satisfied at all . First of all we have to pay fee for nothing . Fee For men SAR 11.50/- and kids SAR 5.50/- . It is not worth. They stopped take inside football and cycle for kids . Everywhere full of securities . No free at all .reallly kids got bored . About water fountain, every one hour . Why not continue? . . Not satisfied at all .",,Good for family with kids. I travelled during my 1st visit during December 2023.Not a very extra ordinary park. Ticket price was 12 SAR per person. Good to be there during weekend. Maximum 1 hour if you visit solo like me. ,"If you are in Riyadh for a week or more, visiting this park is worth. You can also use its outer footpath for daily walking or jogging. ",مفهوم الحب الي والاهتمام فيما يتعلق با الإتصالات والتواصل بين مختلف شرائح المجتمع الهادف الى خلق بيئة مناسبة صحية لا تقل اهمية على اي شخص شكرًا لابداعكم وحسن ادارة الإتصال والعلاقات العامة المحافظة عليها,https://www.tripadvisor.com/Attraction_Review-g293995-d7250993-Reviews-King_Abdullah_Park-Riyadh_Riyadh_Province.html,46.73716,24.666656,,"Al Ameen Abdullah Al Ali Al Naeem Street, Riyadh 12836 Saudi Arabia",,309
Masjid Al Qiblatayn,Sacred & Religious Sites,5,it,Siamo passati per completare il giro ma la moschea non è bella neanche dall’esterno. Ovviamente vietato l’ingresso ai non-musulmani.,,,"Saat city tour rombongan umroh UTM menyempatkan ziaroh ke masjid yang fenomental ini karena mempunya dua arah kiblat, banyak pohon kurma tumbuh di sekitarnya,kami sholat tahiyyatul masjid","This is the important historically mosque, where the prophet Muhammad's received the command to change the direction during praying - from masjid al Aqsa in Jerusalem to the holy Ka'bah in Mecca.  Tha's why this small masjid were important for muslims",https://www.tripadvisor.com/Attraction_Review-g298551-d2649199-Reviews-Masjid_Al_Qiblatayn-Medina_Al_Madinah_Province.html,39.57877,24.48416,+966 800 118 9999,"Al Qiblatayn, Medina 42312 Saudi Arabia",,482
Riyadh Zoo,Zoos,3.5,en,"They never announce to the public when they are closed. A lot of people visited today, including me, only to be informed by the security guards (no English) that the zoo is closed and might approximately be reopened in two months. This is not the first time they have done this to the public. Terrible management.","First: 
The staff are not following COVID- protocol. They don’t wear their masks and if so, they wear it the wrong way (nose expose). 
Second:
The staff are not visitor friendly. In short, THEY DON’T GIVE A F”@!! Take for example the time we want to ride the train for stroll, they did not give us the nice answer, instead they just speak in Arabic! Hello?!! TRAIN ALL YOUR STAFF TO SPEAK ENGLISH!!! Riyadh is promoting tourism, and this is how you cope? C’mon!! 
Third:
The Toilet!!! OMG!!! We saw lots of staff just merely sitting and using their cellphones, and yet the Toilets are UNTIDY!!!!!!!! Wake up management!!

Our over-all stay was “just ok”. I hope the management will read this and do something about the underlying concerns.","The zoo has exotic animals. Some of which I have never seen before. The cages are a bit small and the animals look underweight and the water green. However,The birds’ section is something to see as well as the big cats. They have elephants, giraffes and a bear as well. Zoos, overall, is not always my favorite places to go, but if you are in Riyadh and you have kids, I would recommend it. It will be an educational outing. ","It’s one of the Best zoo in Saudi Arabia. Lot of Animals & Birds we saw there. We use train service inside & walk also. Better walk and see all. Snacks, juice & water we can shop inside. We enjoy it.",I visited during Dec 2023 during my 1st visit to Riyadh. Lots of activities for kids . Special activities for animal feeding at specific time. No cost or ticket fees. Very well managed. Thanks to all partners for this. ,https://www.tripadvisor.com/Attraction_Review-g293995-d319505-Reviews-Riyadh_Zoo-Riyadh_Riyadh_Province.html,46.736687,24.674812,+966 11 477 9523,"Al Malaz, Riyadh Saudi Arabia",,602
Jannatul Baqi,Cemeteries,5,fr,,"nous les femmes on ne peux pas rentree sinon bien entrenue.
apres je comprends car j ai pue observer l'hatitude de certaines personnes choquantes devant la morts.",,"添付した写真の左側の塀の向こうにはジャンナトゥル・バキー墓地がある。この墓地にはムハンマドの近親者も埋葬されている聖なる場所だ。そのためこの地は撮影禁止となっている。土葬されているせいなのか、多くの鳥が盛り上がった土の場所をつついているのを見かけ不思議な感じがする。","بقيع الغرقد هي المقبرة الرئيسة لأهل المدينة المنورة منذ عهد النبي محمد ومن أقرب الأماكن التاريخية إلى مبنى المسجد النبوي حالياً ويقع في مواجهة القسم الجنوبي الشرقي من سورهِ، وقد ضمت إليه أراض مجاورة وبني حوله سور جديد مرتفع مكسو بالرخام ولا تزال المقبرة قيد الاستخدام حتى الآن وموضع البقيع يقصد به بقيع الغرقد المنسوب إلى شجر الغرقد وهو يختلف عن بقيع الزبير وبقيع الخيل وبقيع الخبجبة وبقيع الخضمات
وقالت عائشه رضي الله عنها كان النبي صل الله عليه وسلم يزور اهل البقيع فاقام فأطال، ثم رفع يده ثلاث مرات، ثم انحرف) فيه  
وقال النبي: ((فإن جبريل أتاني فأجبته. فقال: إن ربك يأمرك أن تأتي أهل البقيع فتستغفر لهم))، قالت عائشة: كيف أقول لهم يا رسول الله ؟ قال: ((قولي السلام على أهل الديار من المؤمنين والمسلمين، ويرحم الله المستقدمين منا والمستأخرين وإنا إن شاء الله بكم لاحقون 
بقيع الغرقد يحتوى على أجساد الصحابة وأبناء النبى وأمهات المؤمنين زوجات النبي محمد دُفِنَّ في البقيع، باستثناء خديجة بنت خويلد، والتي دفنت في مقبرة المعلاة في مكة المكرمة وميمونة بنت الحارث التي دفنت في وادي سَرِف على بعد حوالي 15 كيلومتر شمال مكة المكرمة على الطريق إلى المدينة المنورة 
وأسعد بن زرارة أول من دفن من الأنصار وعثمان بن مظعون من المهاجرين وجميعهم يحشرون مع النبي محمد صلى الله عليه وسلم اللهم احشرنا وإياهم مع زمرة الانبياء والصديقين والشهداء والصالحين",https://www.tripadvisor.com/Attraction_Review-g298551-d8015905-Reviews-Jannatul_Baqi-Medina_Al_Madinah_Province.html,39.61603,24.48125,+880 1812-674505,"Southeast of the Masjid al-Nabawi, Medina Saudi Arabia",http://www.facebook.com/NationalMemorial,281
Abraj Al-Bait Towers,Architectural Buildings,4.5,en,"Try using the toilets before prayer time on the food court floor and you will find Queues, bad smell, damp all over and dangerous slippery wet floors! Not a cleaner or worker in sight! Worst toilets - people in Ihram for umrah trying to use these toilets and washrooms but also stay clean. The management should be ashamed of the state of these toilets in supposedly 5 star complex. They don’t seem to care that it’s all falling into disrepair now. Food court is full of junk food outlets but the toilets on that floor are an absolute mess!! Outrageous that they don’t seem to care!",للاسف اخذت عطور واستلمتها من الكاشير ولمن وصلت لقيتكم معطيني عطور مختلفه تماما وين الثقه ؟؟؟؟؟ المشكله العطور اخذتها ب ٢٠٠٠,"Bit disappointing 

Mall is Huge but not very wide variety as plenty shops/kiosk selling same items.

Rest rooms needs to be improved.","Menara megah yang menjulang tinggi di pusat kota Makkah,ada jam raksasa diatasnya ala Big Ben di Inggris,sebagai pusat perbelanjaan prestisius dan area hotel berbintang yang mewah ini merupakan ikon baru bagi warga Arab Saudi yang letaknya di depan Masjidil Haram","The building is an iconic building.
A good hotel for hajjis either performing umra or hajj.
You’ll enjoy the food courts on the third and fourth floors.
There are also good restaurants on the 11th floor.
The building has ample parking lots for their guests.
Good to shop inside the building with their department and other stores.
I enjoy staying on the food courts between Salah / prayers.",https://www.tripadvisor.com/Attraction_Review-g293993-d3533520-Reviews-Abraj_Al_Bait_Towers-Mecca_Makkah_Province.html,39.82559,21.419973,+966 55 505 6356,Mecca Saudi Arabia,http://www.alharamain.gov.sa,608
Corniche,Piers & Boardwalks,4,ar,,,كرونا للاسف لا يمكن التحرك الا بحدود معينه والكل متقيد بالقوانين ولبس الكمامه والمعقمات والحمامات صارت انظف ,"Marciapiede largo e comodo per poter passeggiare e/o correre...peccato non ci siano strutture per potersi cambiare; alcuni bei caffè e ristoranti dove gustare dolcezze e piatti esotici, per lo più asiatici; zona franca dal traffico intenso della città ",Khobar is very nice and clean city in Eastern Province. Winter is best time to visit but for work whole year is OK.,https://www.tripadvisor.com/Attraction_Review-g298545-d319508-Reviews-Corniche-Al_Khobar_Eastern_Province.html,50.22189,26.319675,,Al Khobar Saudi Arabia,http://sauditourism.sa/en/Explore/Regions/Eastern/Khobar/Pages/default.aspx,632
